見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
掲載のイベントについては、時節柄、中止や延期になる場合があります。詳しくは主催者にお問い合わせください。 ,,,,,,,,,,,,,,,,,,
ひきこもり一般向け啓発講演会,,,講師：原田豊氏（鳥取県立精神保健福祉センター所長）,12月18日（金）14:00?16:00,和歌山ビッグ愛（和歌山市）,,100人（先着順）,,,,ファックス、Eメールで氏名、電話番号を12月10日までに県精神保健福祉センター電話073-435-5194　ファックス073-435-5193Eメール　e0503011@pref.wakayama.lg.jp※手話通訳・要約筆記は要予約県ウェブサイトでも掲載,,,,,,,
保育士応援カフェ,保育士として再就職を検討されている方の情報交換の場,,,11月11日（水）13:30?15:30,よりみちサロンいおり（田辺市）,,,,,紀南福祉人材バンク電話0739-26-4918 ,,,,,,,,
紀南地方 子供の医療講演会,こどもの発育と病気（低身長、救急受診など）,,講師：宮脇正和氏（紀南病院小児科医）,12月16日（水）13:30?15:00,那智勝浦町体育文化会館,患者、家族、保健・医療・福祉・教育関係者,60人（先着順）,,,,電話、ファックスで講演会名、住所、氏名、電話番号、一時保育の有無を12月3日（手話通訳・要約筆記希望者は11月13日）までに県難病・子ども保健相談支援センター電話073-445-0520　ファックス073-445-0603県ウェブサイトでも掲載 ,,,,,,,
発達障害に関する講演会,発達障害に関する最近の取組をウェブで配信,,講師：日詰正文氏（国立重度知的障害者総合支援施設 研究部長）,12月11日（金）?17日（木）17:00,,,,,,,インターネットで12月16日17:00（手話通訳希望者は11月11日）までに県発達障害者支援センターポラリス電話073-413-3200和歌山県発達障害者支援センターのぺージへリンク,,,,,,,
よろず無料相談会,法律・不動産・税務・経営などの相談,,,11月20日（金）13:15?16:15（受付は15:30まで）,和歌山ビッグ愛（和歌山市）,,,,,,電話で11月13日までに県司法書士会（受付は13:00?16:00）電話073-422-0568和歌山県司法書士会のぺージへリンク,,,,,,,
ふぉすた～サロン,保育士として再就職を検討されている方の情報交換の場,,,11月17日（火）10:00?11:00,和歌山ビッグ愛（和歌山市）,,,,,,電話で住所、氏名、電話番号を11月16日までに県福祉人材センターハートワーク電話073-435-5211和歌山県福祉人材センターのぺージへリンク,,,,,,,
福祉・介護・保育の就職フェアわかやま,,,,11月14日（土）13:00?16:00,和歌山ビッグ愛（和歌山市）,,,,,県福祉人材センターハートワーク電話073-435-5211※一時保育・手話通訳・要約筆記は要予約 ,,,,,,,,
難聴者手話教室,,,,11月30日（月）13:30?15:00,和歌山ビッグ愛（和歌山市）,県内在住の難聴者の方,20人（先着順）,,,県聴覚障害者情報センター電話073-421-6311　ファックス073-421-6411Eメール　w.d.center@watyosyokyo.or.jp和歌山県聴覚障害者情報センターのぺージへリンク,,,,,,,,
バリアフリー映画上映会,樹木希林最後の主演作品「あん」を字幕・音声解説付きで上映,,,12月6日（日）13:30?16:00,情報交流センターBig・U（田辺市）,,25人（先着順）,,,,郵送、電話、ファックス、Eメールで住所、氏名、電話番号を11月27日までに県点字図書館電話073-488-5721　ファックス073-488-5731Eメール　wakaten@wakaten.jp和歌山県点字図書館のぺージへリンク※手話通訳・要約筆記は要予約 ,,,,,,,
